,평점,일시,감상평
97,3,2019.01.14 11:32,어릴때 재미있게 봤지만 알고보니 이작품이 원작 파괴작이라는걸 알았다. 지금은 리부트가 더 재미있다. 레옹 때문에 3점 드립니다. 제목을 고질라(갓질라)가 아니라 질라로 개명해야되는 영화
98,9,2017.06.12 18:50,"재밌는데, 위트를 좀더 제대로 넣었더라면 어떨까 하는 생각."
99,10,2017.04.01 16:17,동원 아이큐 참치 ㅋㅋㅋ
100,8,2017.03.09 19:52,예전영화인데 잼있게봄.
101,10,2016.11.25 19:08,제목을 '이구라'로 바꿧어야 한다.
102,10,2016.10.30 14:00,일본의 고질라가 원조인 줄 모르고 이 고질라를 처음 접했던 어린 시절 이놈은 날 완전히 압도했다..ㅎㅎ 개인적으로 괴수물을 꽤나 좋아하기 때문에.. 이젠 제법 머리가 커서 어른 소리 듣는 지금도 '롤랜드 감독...
103,10,2016.06.25 10:29,이 영화에서 기억남는것은 극장화면에 선명하게 보이던 동원 참치 캔이다.ㅎㅎ
104,10,2016.05.01 23:42,내가 생애 최초로 극장에서 본 영화.그때는 좌석이 꽉 차면 계단에 앉아서 보기도 했지.그날 고질라는 계단까지 만석이였음. 추억 돋는다 ㅋㅋ
105,6,2014.05.16 01:47,영화보면서 고민할필요도 없고 그저 즐기기에 딱 좋은 영화아쉬운게 있다면 쥬라기공원의 CG를 그대로 카피한게 여기저기서 보인다는 점
106,9,2014.02.03 01:41,전형적인 헐리우드 영화지만 여러번 봐도 질리지 않는 안정적인 스토리와 구체적인 뉴욕의 거리와 빌딩들이 너무나 현실적이다... 오히려 현재의 에머리히보다 더 탄탄한 작품이라고 봐도 될만큼..ㄷㄷ
107,8,2013.12.31 00:02,이것도 원작이 일본이었구나
108,9,2013.08.08 16:41,솔직히 난 일본 고질라보다 미국 고질라가 더 잘만든거 가따!  더 리얼리티함!
109,6,2012.03.16 20:30,기대만큼 크게 느껴지진 않았다
110,10,2011.08.25 23:31,초딩때 첨보고도ㅋㅋ 지금 케이블에서 해주면 밥먹으면서 중간중간 바도 잼잇는영화!
111,6,2010.10.30 22:59,"참치캔 ㅎㅎ ,,,볼만했음 ~~~~~~"
112,5,2010.06.14 03:00,결국 괴수의 크기가 중요한 건 아니었다
113,5,2009.12.18 10:41,킬링타임용 영화로서는 괜찮았다
114,4,2009.11.01 01:09,50년대 B급 영화인 고질라 시리즈의 재미에 훨씬 못미친다
115,6,2009.09.15 18:12,A급의 탈을쓴 B급 괴수영화.
116,6,2009.04.26 13:06,아놔.. 동원참치...
117,8,2009.03.08 10:31,옛남자 친구 등처먹는 계집이 압권
118,4,2008.11.17 16:01,원조고질라에대한 배신!!괴수의왕을조잡한 크리쳐수준으로 만들었다 -.-
119,6,2008.06.24 00:02,크면 다된다고 믿는 어리석은 괴수물
120,5,2008.03.26 17:09,다시보니 여러모로 식상하네.. 최근에는 좋은 영화가 너무 많아서 그런가..
121,6,2007.12.06 07:37,공룡은 언제나 나에겐 흥미로운 존재다
122,5,2007.10.26 16:14,전개될수록 떨어지는 스릴감과 식상한 스토리
123,6,2007.09.08 13:31,CG는 대단하지만 공룡은 웬지 식상.
124,4,2007.08.18 11:57,미사일2방에 죽는 고질라.
125,6,2007.08.16 20:03,무모한 거대괴수. 난 괴수매니아가 아닐뿐이다.
126,5,2007.07.21 02:43,98년도에 본 사람들 빼면 점수는 형편없겠지
127,3,2007.06.14 15:53,영상미가 좋아서 그나마3점. 고질라가 이구아나냐? 양키들아
128,5,2007.02.07 12:04,재밌당...
129,6,2007.02.04 22:17,옛날 생각 나네..
130,5,2006.11.23 18:31,쥐라기 공원보다 먼저 나왔으면 대박
131,6,2006.10.06 18:05,잘봤다
132,5,2006.08.16 20:31,ㅋ공룡열풍에이은 아류작ㅋ 그다지 기대만큼은별로ㅋ
133,2,2006.07.18 22:07,어렸을때재미있게보았는데..왜망햇지?
134,5,2006.02.02 19:01,닳고닳은 소재에 돈만 바른다고 되니? 그저그런 영화로 묻힌...
135,6,2006.01.15 06:30,돈만 잔뜩쳐발랐군요 특수효과땜에 그나마 6점드립니다
136,6,2005.12.17 05:05,"5점 줄꺼, 동원참치 때문에 1점 더 준다 ㅋ"
137,6,2005.08.18 14:17,고질라..모질라..
138,4,2005.07.31 10:37,확실히 고질라는 컸다. 그러나 영화는 너무도 작았다.
139,6,2005.07.12 16:33,괴물이 좀 더 날 뚜ㅕ야 했다
140,1,2005.05.02 18:51,최악의 영화다. 역시 원작을 뛰어넘는 리메이크는없는것인가
141,6,2005.05.02 16:08,극장에서 돈 내고 봤는데 아까웠던 영화 중 하나.
142,2,2005.04.20 19:30,아무리 헐리우드라지만 이건 너무 했다
143,5,2005.03.26 10:31,괴수 고지라..미국인이 생각하는 고지라이야기..ㅡ.ㅡ
144,4,2005.03.13 22:18,용가리 저리가라더군..ㅡㅡ;
145,4,2005.02.08 15:52,보지도 않은 원작까지 같이 싫어하게 만든다
146,5,2005.01.31 23:38,장 르노는 미국 영화에선 왜 고만고만한 역할에 머무는 걸까.
147,6,2005.01.26 17:07,그나마 볼거리가 있어서 점수를 주는 영화.
148,5,2005.01.24 01:43,그래도 한국영화보다 5000배 낫다
149,2,2004.09.24 16:34,에머리히는 사이즈에 고만 집착해라..
150,1,2004.09.11 09:35,동원참치.
151,5,2004.08.07 18:47,쥬라기공원 영화를좋아하는분이 보시면 어쩌면 좋아할수도...
152,5,2004.07.20 09:08,아 너무 지루 고질라영화로는 별로 안어울리고; 왠 로맨스장면이나 나오고
153,5,2004.06.21 09:56,Size Does Not Matter 크기와 재미가 정비례 관계는 아니다
154,4,2004.02.29 19:13,"""광고잘 했소""---동원참치"
155,10,2019.12.26 21:37,고질라 이거보고 알아서 이게 나한데는 원작이다 다시봐도 재밌네 솔크에 이걸 본 내가 레전드다
156,10,2019.12.09 04:03,동원참치 무엇?ㅋㅋㅋㅋ 원작이랑은 전혀 다른 스토리지만 다른 고질라와는 전혀다르게 재밌음. 지하철에서 장르노와 함께 새끼공룡(?)들이랑 술래잡기 하는것도 꽤 스릴있게 봤던걸로 기억함ㅋㅋ
157,6,2019.11.02 00:50,어릴 적 그렇게 좋아했었는데.
158,9,2019.06.20 14:20,역대고질라중 가장몸매 잘빠지고 섹시하게생김
159,8,2019.06.10 23:26,얘는 고질라가 아니고 티라노사우르스같해
160,10,2018.02.04 13:56,인생영화  인생영화 인생영화
161,10,2017.01.08 14:40,2014년 고질라보다 98년 고질라가 스토리도 더 좋고 더 잘생김
162,3,2014.12.11 18:01,"이거 보고 나서 일본 원작,리부트 2014 보니 이게 별로 재미없어 보인다. 그 괴수디자인은 참 좋은디...애니메이션 판이 훨 더 재밌고 인물관계도 신기하나 이것은 너무 뻔한 내용인듯 싶다.원작이나 리부트 팬인 나로..."
163,7,2014.05.23 15:49,이 영화가 그렇게 구리냐? avgn이나 nc 앵그리죠는 이영화 진짜 혹평하던데
164,10,2013.05.12 01:30,고질라의 미국버전이 아닌 오리지날로 나왔으면 더 좋은평을 들었을듯 한 아쉬운작품
165,6,2012.03.16 20:30,후반의 새끼 고질라들과의 도주전은 <쥬라기 공원>을 보는 듯 했다
166,10,2017.03.08 20:30,신고질라보고 느낀건데 참ㅋㅋ그딴게5점이라면 이건100점
167,4,2015.11.08 23:13,옛날꺼 치고 cg는 인정. 근데 설정파괴에다가 저게 고질라냐 공룡이냐
168,4,2015.07.12 00:32,"원작 고지라 시리즈를 무시하고 봐도 도무지 용서가 안 되는 영화. 크리처, 재난 영화로서도 불합격이다. 배우들의 발연기, 개연성 없고 경박한 각본, 긴장감과 박력 없는 액션과 촬영구도, 시대를 고려해 봐도 어색한 C..."
169,1,2014.12.03 16:53,에머리히에게 묻는다 원작은 보고 만들었냐? 이건 1점도 아까울정도의 원작파괴다
170,1,2014.05.18 15:35,아니 냉혈동물이라 열추적 미사일을 못쏜다는데 밤에 잘만 돌아다님 원작파괴를 해도 정도가있지 어떻게 방사능빔을 안쏨 고지라를 왠 공룡으로 만들어놈
171,4,2020.06.07 00:14,고질라 원작 팬들에겐 실망하긴 하겠어...
172,10,2020.04.26 16:38,어렸을 때 봤을 땐 최고였지 이게....ㅋㅋ
173,9,2020.04.19 22:22,괴수를 가지고 액션 오락 영화에서 이 정도의 재미를 주는 작품은 정말 찾기 힘듦
174,8,2020.03.07 09:30,주인공들이 귀여워서 인지. 고질라도 귀엽게 보임. 그 주위에 받혀주고 있던 조연들. 끝에 고질라 다리 케이블 걸려서 미사일 맞고. 쓰러질때 눈물 나려고 했음.. 계속 봐도 스토리가 질리지 않다. 간간히 보여주는 개그...
175,7,2019.03.02 17:51,딱 오락성 짙고 볼거리는 많은데 개연성도 없고 설정도 어설픈 영화 괜히 당시에 올해 최악의 영화로 선정된게 아님
176,8,2018.11.22 14:18,7점 후반대 영화~~~ ㅎㅎ
177,10,2018.10.15 17:42,고지라1998이너무길어서다보지도못햇서요!!!
178,8,2017.02.25 13:19,"재밌긴한데 괴수영화 특성상 전형적인 스토리라,,,"
179,7,2016.12.12 22:56,개인적으로는지루했으나후반부는볼만하다글고 2014년작보다낫다
180,7,2016.11.02 23:34,영화자체는 괴수물로써 상당히 훌륭하다. 문제는 고질라라는 타이틀을 가지고 나왔다는거다.
181,10,2016.09.30 07:57,Good!.!.!!!!.
182,10,2016.05.06 17:32,음~~~용가리마싯엉
183,10,2016.04.28 00:26,괴수영화중 스케일은 탑이지 않을까
184,10,2016.04.10 22:29,평점이 왜이래? 난 잼있던디
185,10,2016.03.26 18:03,이거 꽤나 볼만한데  왜케 까이지
186,8,2016.03.05 11:41,누가들어도 아는 이름이 되어버린..
187,9,2016.02.21 03:07,괴수영화 중엔 당연 으뜸. 소재를 살려주는 재밌는 스토리까지 굿이다.
188,8,2015.07.23 04:20,어릴떄 짱 재미있게 봤떤 영화 . . .   다시 보면 유명배우 옜날 ㅂ모습보는 재미도 있는 ㅋㅋㅋ
189,8,2015.07.16 09:28,초딩때까지만해도 케이블에서 틀어줘서 잊혀질만하면 재밌게 보던영화 요즘엔 잘 안나오던데ㅜ
190,8,2014.08.27 23:19,"미사일 몇 대 맞고 OO건 용서못하는데, 나머지 연출력과 색다른 디자인은 참 멋졌다. 근데 미사일 때문에 2점 감점"
191,9,2014.08.24 08:00,"16년전에 3번 봤던 영화. 당시 볼게 이것밖에 없어서 만나는 여자들마다 한번씩 봤다. 요즘 나오는 퍼시픽림, 슈퍼맨 같은 그래픽에도 안밀린다 생각한다.그 때로 돌아가 3번 더 보고 싶다^^;"
192,10,2014.08.23 03:27,멋지네이야호오오홋 리얼 땅따라
193,9,2014.07.19 15:05,참치는 동원참치...
194,9,2014.06.06 06:46,추억의 꿀잼영화 영상미는 90년대가 아닌거 같다
195,10,2014.05.17 22:00,어릴 때 보나 지금 보나 여전히 재밌다괴수에 대한 환상을 갖게 해줬던 영화이거 미국 애니메이션도 있었는데 ㅎㅎ
196,10,2014.05.13 12:27,진짜 재미 있게 본 영화 ㅎ
197,7,2014.04.29 21:23,"후반처럼만 하지...소재에 비해 분위기가 너무산만, 유치함.."
